tax_id,halophilic
1349767,TRUE
887062,TRUE
2220096,TRUE
40091,TRUE
135826,TRUE
119644,TRUE
180200,TRUE
332522,TRUE
86342,TRUE
72026,TRUE
478441,TRUE
796379,TRUE
300560,TRUE
43674,TRUE
1890675,TRUE
1812261,TRUE
890420,TRUE
53458,TRUE
38875,TRUE
297,TRUE
81030,TRUE
548579,TRUE
86667,TRUE
1227488,TRUE
332516,TRUE
1121088,TRUE
561176,TRUE
516700,TRUE
36863,TRUE
1868794,TRUE
180195,TRUE
709510,TRUE
1867106,TRUE
797299,TRUE
112009,TRUE
1608422,TRUE
406549,TRUE
420998,TRUE
863372,TRUE
1671556,TRUE
188906,TRUE
256549,TRUE
1868793,TRUE
262209,TRUE
261467,TRUE
55508,TRUE
110845,TRUE
89093,TRUE
889306,TRUE
2004704,TRUE
589010,TRUE
53368,TRUE
1227482,TRUE
281739,TRUE
412687,TRUE
282197,TRUE
249410,TRUE
1484,TRUE
1122125,TRUE
29581,TRUE
80842,TRUE
300179,TRUE
468556,TRUE
616997,TRUE
1349792,TRUE
65786,TRUE
1220584,TRUE
579922,TRUE
2559914,TRUE
60450,TRUE
184067,TRUE
223184,TRUE
28448,TRUE
888741,TRUE
1296540,TRUE
499547,TRUE
84634,TRUE
1053551,TRUE
402385,TRUE
2269374,TRUE
1307938,TRUE
2529380,TRUE
84633,TRUE
1385520,TRUE
1940789,TRUE
664639,TRUE
1850438,TRUE
592377,TRUE
182640,TRUE
1598,TRUE
508451,TRUE
504092,TRUE
202750,TRUE
595502,TRUE
501340,TRUE
236068,TRUE
1847728,TRUE
198706,TRUE
190195,TRUE
2024736,TRUE
131568,TRUE
2486016,TRUE
2486017,TRUE
281105,TRUE
1296539,TRUE
88074,TRUE
698828,TRUE
72000,TRUE
2486021,TRUE
84632,TRUE
236067,TRUE
1660183,TRUE
434347,TRUE
526729,TRUE
1358,TRUE
168471,TRUE
37633,TRUE
2486022,TRUE
291602,TRUE
71999,TRUE
1105143,TRUE
33995,TRUE
1348624,TRUE
91891,TRUE
2486019,TRUE
1122143,TRUE
2485998,TRUE
57909,TRUE
996641,TRUE
150026,TRUE
2486024,TRUE
47671,TRUE
497725,TRUE
392416,TRUE
722689,TRUE
2486023,TRUE
191389,TRUE
1840606,TRUE
1851019,TRUE
1151742,TRUE
913969,TRUE
2486013,TRUE
110933,TRUE
517724,TRUE
2012495,TRUE
1903258,TRUE
2493111,TRUE
1365,TRUE
2486025,TRUE
221725,TRUE
1255629,TRUE
184882,TRUE
2487723,TRUE
37482,TRUE
150025,TRUE
2012477,TRUE
1746200,TRUE
1296538,TRUE
931533,TRUE
144185,TRUE
2486012,TRUE
1360,TRUE
2486018,TRUE
1890280,TRUE
582665,TRUE
1907578,TRUE
31966,TRUE
641025,TRUE
284575,TRUE
449659,TRUE
295065,TRUE
340214,TRUE
272210,TRUE
1421,TRUE
33964,TRUE
