tax_id,thermophilic
1246,TRUE
168471,TRUE
1528099,TRUE
1245,TRUE
1598,TRUE
1252,TRUE
2568007,TRUE
33964,TRUE
1581,TRUE
47715,TRUE
272210,TRUE
451457,TRUE
1358,TRUE
1423739,TRUE
110933,TRUE
481722,TRUE
1936991,TRUE
116089,TRUE
65499,TRUE
295065,TRUE
214325,TRUE
40571,TRUE
2487722,TRUE
55969,TRUE
481720,TRUE
1599,TRUE
1588,TRUE
191389,TRUE
1348624,TRUE
283878,TRUE
214326,TRUE
1983706,TRUE
1907578,TRUE
229920,TRUE
446820,TRUE
1244,TRUE
152332,TRUE
1940789,TRUE
103732,TRUE
1890280,TRUE
150026,TRUE
31966,TRUE
150025,TRUE
267990,TRUE
33962,TRUE
60519,TRUE
283877,TRUE
175306,TRUE
178001,TRUE
164393,TRUE
340320,TRUE
481719,TRUE
390842,TRUE
481723,TRUE
51664,TRUE
1293599,TRUE
1365,TRUE
28038,TRUE
1639,TRUE
33968,TRUE
202752,TRUE
229921,TRUE
1704076,TRUE
380393,TRUE
303240,TRUE
1607,TRUE
1122184,TRUE
1642,TRUE
1324935,TRUE
287097,TRUE
147809,TRUE
1423716,TRUE
1220589,TRUE
267633,TRUE
1643,TRUE
882095,TRUE
181675,TRUE
1610,TRUE
431273,TRUE
1173111,TRUE
1421,TRUE
267363,TRUE
216463,TRUE
227942,TRUE
88874,TRUE
399370,TRUE
1807135,TRUE
1638,TRUE
309788,TRUE
2828727,TRUE
148604,TRUE
303241,TRUE
1204385,TRUE
28031,TRUE
115542,TRUE
396716,TRUE
174038,TRUE
33984,TRUE
33966,TRUE
1632,TRUE
1555112,TRUE
2562452,TRUE
1641,TRUE
267364,TRUE
488549,TRUE
417373,TRUE
1354027,TRUE
1640,TRUE
33965,TRUE
1267217,TRUE
262076,TRUE
149715,TRUE
69969,TRUE
39844,TRUE
65552,TRUE
381,TRUE
135739,TRUE
1673631,TRUE
643747,TRUE
69974,TRUE
252966,TRUE
106262,TRUE
1006,TRUE
75985,TRUE
129985,TRUE
86796,TRUE
1134405,TRUE
71237,TRUE
1122214,TRUE
2086470,TRUE
52022,TRUE
69968,TRUE
1150474,TRUE
262077,TRUE
150056,TRUE
1122195,TRUE
228957,TRUE
172827,TRUE
228959,TRUE
213248,TRUE
990712,TRUE
863370,TRUE
1862713,TRUE
85403,TRUE
1168289,TRUE
604331,TRUE
71433,TRUE
277,TRUE
191770,TRUE
198483,TRUE
28104,TRUE
884155,TRUE
1679163,TRUE
604332,TRUE
1917180,TRUE
2201189,TRUE
2026184,TRUE
69967,TRUE
2696285,TRUE
2806023,TRUE
1033846,TRUE
570855,TRUE
1122199,TRUE
910412,TRUE
228956,TRUE
1324956,TRUE
1242148,TRUE
883126,TRUE
198482,TRUE
126843,TRUE
389480,TRUE
198484,TRUE
186192,TRUE
228958,TRUE
2809031,TRUE
1236220,TRUE
643867,TRUE
1964194,TRUE
279826,TRUE
1163748,TRUE
49340,TRUE
213231,TRUE
2200,TRUE
1715806,TRUE
145263,TRUE
1927129,TRUE
1458122,TRUE
1122233,TRUE
399549,TRUE
1175445,TRUE
1884223,TRUE
2014805,TRUE
69365,TRUE
2320,TRUE
162393,TRUE
2213,TRUE
145262,TRUE
2190,TRUE
2210,TRUE
1006005,TRUE
462710,TRUE
1045764,TRUE
36806,TRUE
2189,TRUE
33883,TRUE
2186,TRUE
36805,TRUE
286152,TRUE
99938,TRUE
57043,TRUE
1520800,TRUE
83982,TRUE
2082189,TRUE
523846,TRUE
394967,TRUE
43687,TRUE
674972,TRUE
2180,TRUE
155863,TRUE
882090,TRUE
49341,TRUE
83171,TRUE
1301915,TRUE
49339,TRUE
680118,TRUE
73913,TRUE
667126,TRUE
2164,TRUE
2546128,TRUE
47304,TRUE
39669,TRUE
246786,TRUE
1236046,TRUE
79601,TRUE
153731,TRUE
438856,TRUE
2224,TRUE
317575,TRUE
2322,TRUE
2614238,TRUE
67760,TRUE
697197,TRUE
2181,TRUE
145261,TRUE
1175444,TRUE
213185,TRUE
246613,TRUE
33884,TRUE
69362,TRUE
33918,TRUE
398050,TRUE
1525,TRUE
1852,TRUE
33885,TRUE
1270,TRUE
230091,TRUE
124798,TRUE
82380,TRUE
1908308,TRUE
1716077,TRUE
69369,TRUE
147065,TRUE
69366,TRUE
261654,TRUE
262898,TRUE
355930,TRUE
104336,TRUE
69368,TRUE
199592,TRUE
676965,TRUE
2052,TRUE
67574,TRUE
1223527,TRUE
69363,TRUE
887899,TRUE
3062783,TRUE
886377,TRUE
55779,TRUE
202604,TRUE
1348634,TRUE
323761,TRUE
1122237,TRUE
69367,TRUE
69370,TRUE
284570,TRUE
121616,TRUE
264732,TRUE
1266720,TRUE
1336243,TRUE
179095,TRUE
88568,TRUE
2972948,TRUE
36807,TRUE
252514,TRUE
29405,TRUE
585198,TRUE
3051332,TRUE
254955,TRUE
254954,TRUE
279828,TRUE
1812349,TRUE
337005,TRUE
1223528,TRUE
2005073,TRUE
1475481,TRUE
81499,TRUE
99117,TRUE
2033,TRUE
1236609,TRUE
1401690,TRUE
2341086,TRUE
39687,TRUE
110505,TRUE
1790,TRUE
319707,TRUE
28045,TRUE
1794,TRUE
146017,TRUE
1791,TRUE
1801,TRUE
222805,TRUE
75920,TRUE
1770,TRUE
1780,TRUE
146020,TRUE
1793,TRUE
36814,TRUE
1804,TRUE
182220,TRUE
83262,TRUE
1792,TRUE
84962,TRUE
110539,TRUE
1265312,TRUE
44454,TRUE
44010,TRUE
187102,TRUE
2038731,TRUE
1091046,TRUE
39694,TRUE
1209984,TRUE
292462,TRUE
1799,TRUE
146021,TRUE
1766,TRUE
39688,TRUE
258505,TRUE
