ID,designation_header,strain_number_header,is_type_strain_header,species,pH
6695,1.1424,"DSM 22467, JCM 18045, LMG 25291, TMW 1.1424",1,"Levilactobacillus paucivorans",4
133002,HDW-36,"DSM 105137, CECT 8901, KCTC 42719",1,"Lewinella aquimaris",5
14046,II-2,"DSM 23179, ATCC 23123, NBRC 102661, NCIMB 12855",1,"Lewinella cohaerens",5
166128,RmlP026,"KCTC 72077, VKM B-3277",1,"Lichenibacterium minus",4.5-5
6678,,"DSM 18793, JCM 14505, NRIC 0697, CIP 109834",1,"Limosilactobacillus equigenerosi",4
6657,L489,"DSM 18630, CCUG 53453, CIP 109616, JCM 15611",1,"Liquorilactobacillus ghanensis",3.9
158631,,"CCM 8709, CIP 111178, LMG 29765, MaA MAA42",1,"Litorimonas haliclonae",4
133224,YSM-17,"KCTC 52249, NBRC 112330",1,"Litorisediminivivens gilvus",5
1538,10a,"DSM 17140, ATCC BAA-1146, IAM 15262, JCM 21713, CIP 109652, NBRC 103108",1,"Lysinibacillus boronitolerans",5.0
158538,M11-4,"MCCC 1K03312, JCM 32104",1,"Mangrovitalea sediminis",5
483,SW-156,"DSM 16072, JCM 12324, KCTC 12184, CIP 108614",1,"Marinobacter daepoensis",5.0
481,SW145,"DSM 16070, JCM 12323, CGMCC 1.8487, KCTC 12185, CIP 108615",1,"Marinobacter flavimaris",5.0
531,MACL11,"DSM 17316, CECT 5861, LMG 22193, CIP 108716",1,"Martelella mediterranea",5.0
141155,PTW21,"BCRC 81061, CICC 24113",1,"Massilia neuiana",5
158578,KBB12,"KCTC 32230, JCM 18740",1,"Melaminivora jejuensis",<5
1250,YKJ-10,"DSM 18226, CIP 107104, JCM 10885, KCCM 41040, BCRC 20126, CCM 7133, CGMCC 1.3651, KCTC 3839",1,"Mesobacillus jeotgali",<5.0
158821,S1-3-7,"WYCCWR 10195, HAMBI 3692, LMG 30254",1,"Mesorhizobium wenxiniae",4-5
1659,T4,"DSM 15673, NCIMB 13949",1,"Methylocella tundrae",4.2
1673,BW863,"DSM 19998, NCIMB 14408",1,"Methylovirgula ligni",4.5-5.0
133183,JF-6,"MTCC 11843, JCM 30060, KCTC 39828",1,"Microbacterium aureliae",5
140576,GHTF-23,"NBRC 112533, KCTC 52569",1,"Microbulbifer aestuariivivens",4
,,,,,4.5
132342,S3Af-1,"DSM 100019, CGMCC 4.7306, JCM 31774",1,"Microlunatus endophyticus",4
7974,MK-41,"DSM 43819, ATCC 21773, JCM 6239, NRRL B-16095, CECT 3294, IMSNU 22025, MTCC 330, NBRC 101909, NCIMB 12751",1,"Micromonospora inositola",3.5
7977,"MK-70 (FERM-P 1560)","DSM 43868, ATCC 21819, FERM P-1560, IFO 14304, IMET 8310, JCM 7348, NBRC 14304, CECT 3296, HUT 6590, IMSNU 20086, KACC 20103, KCTC 1052, NCIMB 12659, NRRL 8178, VKM Ac-1317",1,"Micromonospora olivasterospora",3.5
7976,,"DSM 43821, ATCC 27007, CBS 326.71, IFO 13324, IMET 8213, IMRU 3343, JCM 3156, NBRC 13324, NRRL B-16094, CECT 3297, IFM 1279, KCTC 9369, MTCC 331, NCIMB 12661, NRRL B-2101, VKM Ac-937",1,"Micromonospora purpureochromogenes",3.5
133326,V5/3M,"LMG 29787, RCAM 02728",1,"Microvirga ossetica",5
156203,DR-f4,"CCUG 60717, KCTC 23359, JCM 16601, KACC 14556, KACC {14556, UCCCB33",1,"Mucilaginibacter dorajii",5.0
140568,PP-F2F-G47,"CCM 8711, CIP 111182, LMG 29767, DSM 103633",1,"Mucilaginibacter galii",5
133144,PP-F2F-G21,"DSM 100995, CCM 8625, CIP 110921, LMG 29118",1,"Mucilaginibacter phyllosphaerae",<5.0
158311,,"CECT 9646, DSM 107316, NCTC 11659",1,"Mycobacterium kyogaense",5
168508,N5BH11,"CGMCC 4.7524, KCTC 49196",1,"Nakamurella flava",4
1251,B1801T,"DSM 18237, LMG 17489, NCIMB 13771, Rcp Sm1, JCM 21708, CIP 106910, IAM 15257, KCTC 13885, KCTC 3851, LMG 19448, NBRC 102428",1,"Neobacillus fumarioli",4.0-5.0
1216,"IDA 3307, R-15439","DSM 15603, CIP 108805, LMG 21837, JCM 21709, IAM 15258, NBRC 102450",1,"Neobacillus novalis",4.0-5.0
1217,"IDA 0086, R-16300, ISA0086","DSM 15604, CIP 108804, LMG 21838, JCM 21710, IAM 15259, KCTC 13572, NBRC 102451",1,"Neobacillus soli",4.0-5.0
1215,"IDA 3632, R-15447","DSM 15602, CIP 108806, LMG 21834, JCM 21711, IAM 15260, KCTC 13573, NBRC 102452",1,"Neobacillus vireti",4.0-5.0
10669,"GA 919 (N 164), M 258","DSM 43665, ATCC 3318, DSM 43257, DSM 43578, IMRU 3318, NCIB 12058, NCTC 11134, JCM 3088, BCRC 13380, BCRC 13722, CBS 318.60, CCUG 10109, CCUG 27778, CCUG 48656, CECT 3053, CECT 4069, CGMCC 4.1166, CGMCC 4.1829, CIP 104775, IFM 0028, IFM 0284, IFO 15532, IMET 7377, IMSNU 21224, KCTC 9958, NBRC 15532, NCIMB 12058, NRRL B-2089, PCM 2173",1,"Nocardia farcinica",5
10679,,"DSM 43242, ATCC 14629, NCTC 1934, CCUG 10075, JCM 3377, CBS 262.39, CCM 2779, CGMCC 4.1168, CIP 104514, IFM 0239, IFO 14405, IID 5214, IMSNU 21221, JCM 3393, KCTC 9960, NBRC 14405, NCIMB 12084, VKM Ac-869",1,"Nocardia otitidiscaviarum",5
10717,"3426, 16, strain 16","DSM 43405, ATCC 6865, DSM 43582, IFO 15921, IMRU 3426, NBRC 15921, NCTC 2392, CCUG 45937, CIP 104841, JCM 9099, CCM 2776, CCUG 4.1169, IFM 0333, IMET 7500, NRRL B-16037, VKM Ac-867",1,"Nocardia transvalensis",5
133101,ST01-07,"BCC 45622, NBRC 109069",1,"Nocardia xestospongiae",5
133918,,"KCTC 33035, CCUG 62987, CAU 1051",1,"Oceanobacillus chungangensis",5
133090,"DB 13031","DSM 28013, CGMCC 1.12770",1,"Paenibacillus silvae",5
166455,3-5-3,"CGMCC 1.13686, KCTC 33998",1,"Paenibacillus zeisoli",4
133562,SA41,"NBRC 101817",1,"Paraburkholderia heleia",5
133350,,"DSM 101189, LMG 29163, STM 7183",1,"Paraburkholderia piptadeniae",4
,,,,,5
1961,"MTI-641, MTl-641","DSM 17197, ATCC BAA-744, CIP 107921, LMG 22722",1,"Paraburkholderia unamae",2.8
140807,GHD-30,"KCTC 52214, NBRC 111993",1,"Paracoccus aestuariivivens",4.5
