reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ort-RDM-1_3,CCG22285,0.310,326,220,0,10,329,3,328,1.900E-24,98,2.73,0.84391,0.5383805632591248,44.0,34.0,0.7727272727272727
Ort-RDM-1_3,EGW33854,0.311,325,223,0,10,334,13,337,1.900E-24,98,2.64,0.84461,0.26590052247047424,46.0,29.0,0.6304347826086957
Ort-RDM-1_3,ODV81308,0.280,334,235,0,8,334,2,335,1.900E-24,98,2.58,0.82854,0.45925989747047424,43.0,34.0,0.7906976744186046
Ort-RDM-1_3,CCE40418,0.289,326,227,0,10,329,3,328,3.450E-24,98,2.74,0.84826,0.5195901393890381,45.0,35.0,0.7777777777777778
Ort-RDM-1_3,CCE39733,0.291,326,230,0,10,334,5,330,3.450E-24,98,2.47,0.84345,0.44215214252471924,44.0,29.0,0.6590909090909091
Ort-RDM-1_3,ODV65262,0.312,278,190,0,10,286,17,294,3.450E-24,98,2.62,0.80916,0.48984551429748535,45.0,35.0,0.7777777777777778
Ort-RDM-1_3,EGW32584,0.286,322,228,0,8,329,4,324,4.648E-24,97,2.52,0.8546,0.3438490927219391,45.0,27.0,0.6
Ort-RDM-1_3,ODV77212,0.288,334,232,0,8,334,2,335,8.432E-24,96,2.48,0.83537,0.5627362132072449,46.0,20.0,0.43478260869565216
Ort-RDM-1_3,CCE40009,0.271,331,235,0,10,333,7,337,2.059E-23,95,2.2,0.86269,0.37346982955932617,44.0,30.0,0.6818181818181818
Ort-RDM-1_3,ANZ74293,0.309,296,193,0,8,287,3,298,2.059E-23,95,2.48,0.82396,0.4307631552219391,46.0,33.0,0.717391304347826
Ort-RDM-1_3,EDK47269,0.297,280,195,0,9,287,7,286,6.756E-23,94,3.03,0.848,0.61708003282547,47.0,31.0,0.6595744680851063
Ort-RDM-1_3,EGW32253,0.289,310,218,0,8,314,4,313,9.091E-23,93,2.69,0.84928,0.3727456331253052,44.0,31.0,0.7045454545454546
Ort-RDM-1_3,EER35024,0.302,281,191,0,8,282,5,285,4.003E-22,91,2.73,0.8301,0.4453595280647278,44.0,32.0,0.7272727272727273
Ort-RDM-1_3,OPB45484,0.307,302,204,0,7,308,3,297,5.382E-22,91,2.34,0.84039,0.5380350351333618,46.0,20.0,0.43478260869565216
Ort-RDM-1_3,KFA63262,0.298,286,195,0,10,288,5,290,5.382E-22,91,2.78,0.80346,0.9058247804641724,45.0,33.0,0.7333333333333333
Ort-RDM-1_3,CCC13794,0.297,287,188,0,14,281,12,298,5.382E-22,91,3.03,0.74246,0.6619397401809692,45.0,30.0,0.6666666666666666
Ort-RDM-1_3,CCG22283,0.299,310,214,0,9,314,2,311,9.727E-22,90,2.78,0.84741,0.4351999759674072,46.0,30.0,0.6521739130434783
Ort-RDM-1_3,CCH60145,0.302,284,193,0,10,286,3,286,1.307E-21,90,2.68,0.82424,0.3851005733013153,46.0,29.0,0.6304347826086957
Ort-RDM-1_3,KGT65805,0.303,330,227,0,9,334,6,335,5.724E-21,88,2.41,0.8432,0.43849945068359375,46.0,31.0,0.6739130434782609
